timestamp,key_dwell,mouse_x,mouse_y,scroll_dx,scroll_dy,idle_seconds,event_type
2026-02-25 00:55:15.946330,0,1146,335,0,0,0.41176533699035645,move
2026-02-25 00:55:15.953331,0,1201,325,0,0,0.007000446319580078,move
2026-02-25 00:55:15.959839,0,1258,317,0,0,0.006508827209472656,move
2026-02-25 00:55:15.966839,0,1316,310,0,0,0.00699925422668457,move
2026-02-25 00:55:15.973349,0,1375,297,0,0,0.006510257720947266,move
2026-02-25 00:55:15.980350,0,1433,289,0,0,0.007001399993896484,move
2026-02-25 00:55:15.986391,0,1486,285,0,0,0.006041049957275391,move
2026-02-25 00:55:15.993940,0,1541,275,0,0,0.007548332214355469,move
2026-02-25 00:55:16.000647,0,1595,267,0,0,0.006707668304443359,move
2026-02-25 00:55:16.008051,0,1635,261,0,0,0.007403850555419922,move
2026-02-25 00:55:16.014340,0,1677,256,0,0,0.006289005279541016,move
2026-02-25 00:55:16.021471,0,1714,248,0,0,0.00713038444519043,move
2026-02-25 00:55:16.027902,0,1749,243,0,0,0.006431102752685547,move
2026-02-25 00:55:16.034902,0,1785,237,0,0,0.0070002079010009766,move
2026-02-25 00:55:16.041386,0,1814,231,0,0,0.0064847469329833984,move
2026-02-25 00:55:16.048387,0,1840,226,0,0,0.0070002079010009766,move
2026-02-25 00:55:16.055393,0,1866,218,0,0,0.007005929946899414,move
2026-02-25 00:55:16.062621,0,1893,211,0,0,0.007227897644042969,move
2026-02-25 00:55:16.068626,0,1909,206,0,0,0.006004810333251953,move
2026-02-25 00:55:16.076135,0,1926,200,0,0,0.007508993148803711,move
2026-02-25 00:55:16.083230,0,1933,196,0,0,0.007095813751220703,move
2026-02-25 00:55:16.090231,0,1930,191,0,0,0.007000446319580078,move
2026-02-25 00:55:16.096230,0,1929,187,0,0,0.005999565124511719,move
2026-02-25 00:55:16.103658,0,1929,180,0,0,0.007427215576171875,move
2026-02-25 00:55:16.110439,0,1931,175,0,0,0.006781578063964844,move
2026-02-25 00:55:16.117439,0,1927,170,0,0,0.0069997310638427734,move
2026-02-25 00:55:16.124323,0,1925,166,0,0,0.006884574890136719,move
2026-02-25 00:55:16.131085,0,1926,164,0,0,0.006762027740478516,move
2026-02-25 00:55:16.137819,0,1925,160,0,0,0.006733417510986328,move
2026-02-25 00:55:16.144819,0,1924,157,0,0,0.007000446319580078,move
2026-02-25 00:55:16.151822,0,1922,154,0,0,0.007002592086791992,move
2026-02-25 00:55:16.158491,0,1923,152,0,0,0.006669521331787109,move
2026-02-25 00:55:16.164937,0,1924,150,0,0,0.006445884704589844,move
2026-02-25 00:55:16.172170,0,1922,148,0,0,0.007232666015625,move
2026-02-25 00:55:16.179054,0,1921,146,0,0,0.006884098052978516,move
2026-02-25 00:55:16.185249,0,1921,145,0,0,0.006194591522216797,move
2026-02-25 00:55:16.192596,0,1919,144,0,0,0.00734710693359375,move
2026-02-25 00:55:16.198984,0,1921,143,0,0,0.006388425827026367,move
2026-02-25 00:55:16.206518,0,1920,143,0,0,0.00753331184387207,move
2026-02-25 00:55:16.219515,0,1920,143,0,0,0.012997865676879883,move
2026-02-25 00:55:16.260444,0,1919,143,0,0,0.04092884063720703,move
2026-02-25 00:55:16.267884,0,1917,143,0,0,0.007440090179443359,move
2026-02-25 00:55:16.274863,0,1913,143,0,0,0.006979227066040039,move
2026-02-25 00:55:16.281807,0,1909,143,0,0,0.006943702697753906,move
2026-02-25 00:55:16.287807,0,1902,142,0,0,0.005999565124511719,move
2026-02-25 00:55:16.295593,0,1896,141,0,0,0.0077860355377197266,move
2026-02-25 00:55:16.301571,0,1890,140,0,0,0.0059778690338134766,move
2026-02-25 00:55:16.309353,0,1884,138,0,0,0.007781982421875,move
2026-02-25 00:55:16.315358,0,1876,136,0,0,0.006005048751831055,move
2026-02-25 00:55:16.322358,0,1870,133,0,0,0.006999969482421875,move
2026-02-25 00:55:16.329727,0,1865,131,0,0,0.0073697566986083984,move
2026-02-25 00:55:16.336411,0,1859,128,0,0,0.006684064865112305,move
2026-02-25 00:55:16.342508,0,1853,126,0,0,0.006096601486206055,move
2026-02-25 00:55:16.349506,0,1848,124,0,0,0.006997823715209961,move
2026-02-25 00:55:16.356513,0,1842,120,0,0,0.0070073604583740234,move
2026-02-25 00:55:16.363512,0,1837,118,0,0,0.006998777389526367,move
2026-02-25 00:55:16.370513,0,1833,114,0,0,0.007000923156738281,move
2026-02-25 00:55:16.377693,0,1828,112,0,0,0.007179737091064453,move
2026-02-25 00:55:16.384694,0,1825,109,0,0,0.007000923156738281,move
2026-02-25 00:55:16.390695,0,1822,108,0,0,0.006000995635986328,move
