mean_velocity,std_velocity,mean_acceleration,std_acceleration,movement_density
561.5668929279173,729.4631244775447,-218.1976314730806,74639.42176241349,1.2333333333333334
767.4258672483612,1619.8807318920908,-14480.100903720248,49297.60915323633,1.2833333333333334
2103.6875538145864,3246.1195797938194,-23906.548898510886,185300.4819694235,1.4666666666666666
1427.9277642737216,3087.0136479906437,12045.627970601945,568274.3423800155,20.25
1804.7633236125919,3807.070697801589,6204.079207613218,306137.68799800763,15.3
1451.1490019693085,2923.6066996530053,5070.516738933942,248753.09592330444,14.3
1937.4191755353752,3126.9377247838097,9800.175397388071,320366.3733880565,7.266666666666667
1331.1150728569137,2682.661005141473,8028.334586898805,309907.0664948528,12.383333333333333
1341.2545852089972,3691.4970254382756,19744.10437112477,670086.3539635165,16.733333333333334
1649.2120884238636,3179.526624644166,5375.191839572485,283169.3797657359,8.766666666666667
1256.8217218371683,2261.474320302513,201.64756318183677,183010.19337574887,11.833333333333334
942.1495255127145,1726.9791934766517,2554.2875631847396,136634.7789627243,6.95
892.0714313574586,1684.0823004329854,67.55208414534869,143347.51893902823,9.583333333333334
1373.838597434996,2869.772090209328,6120.586237660604,309218.0325484052,8.3
820.3867323491559,1717.3103938515326,7610.830291195266,215631.16329675564,24.016666666666666
945.6445817399226,2016.2239995363082,5273.938249893056,192824.04817149363,16.766666666666666
1426.9712135980635,2653.0828721977336,1284.6920732317803,202977.4956178237,7.05
1399.6893290842502,3158.486997994704,9194.700770389878,258395.71118549324,22.566666666666666
912.8174420336042,2098.6105445896924,1182.089740561355,199338.27577651708,9.366666666666667
881.4304049394423,134.85269586774757,-6044.990094854212,29741.720888601838,0.08333333333333333
1651.3066269269798,4448.964616115708,5194.81369914126,392341.3452287746,1.9
1650.4360626301755,3830.493939122758,3820.0550886008205,329375.23392680247,15.75
1258.6357980060313,2750.102038356345,6113.0630135390975,217810.66185079765,30.666666666666668
2593.663575959177,3798.293406809185,12094.211643035113,396197.7732163372,0.9
3692.054202334021,3582.4096070704354,-2441.1193672394597,252373.2121565955,3.7333333333333334
1370.7113830638366,3454.971449589186,11186.297755976808,355188.2676544644,13.466666666666667
796.4936533895448,1748.0034609812958,8607.329754332291,245301.6019108427,27.116666666666667
832.8505976963587,1907.814580978697,5742.500332352088,192468.42725964056,22.583333333333332
1443.7992938460372,3347.944341005357,11038.103337839524,362597.4327541797,29.35
1217.2212479733084,4573.415820627099,28318.51771155564,2053057.347807316,20.9
1162.348293445547,2607.5444745571663,2436.726281380843,200267.38433909818,11.533333333333333
1626.4771963892724,3364.0793118676493,4466.455073818248,290375.43639966095,16.383333333333333
1645.0066268212981,2800.6930542575483,10966.312598967445,327852.3676987928,2.25
1156.9663096661318,2599.0079289888627,9792.937005697451,310700.6281447158,17.6
589.1083035378912,1189.0373777738896,7019.605466759492,111158.67410927344,6.133333333333334
819.2437370081019,1483.686051159001,-7059.364825932472,134995.76519610384,0.7
704.0191854315957,872.7312014604812,1353.4980937881292,111266.18072207348,3.85
802.6413177863363,1127.24952850002,229.48788518294404,71603.4812594473,3.816666666666667
1200.7025304522003,2615.663551954985,13537.925679381015,357626.69306539366,10.2
1199.7023340308142,2468.506863122061,5866.681287031142,231688.54557889936,21.966666666666665
746.0974964805885,1468.2126146485375,2597.4230897520197,123856.40194263456,25.0
1122.1264717281972,2764.3138954894785,4217.879275577534,198800.8208872064,19.583333333333332
1916.0440929939684,3936.1633613218496,-3160.4432742723284,272060.8160556911,4.466666666666667
1825.5621241110362,3467.592135774883,899.7930332593371,247549.59183138603,3.7666666666666666
1538.0308877772227,1326.2188249708415,7326.415186823641,182923.63193909565,1.1333333333333333
1174.54153668789,2181.103929775403,4810.599932096733,191459.36246656984,6.933333333333334
1761.2864800515704,3453.50599478843,8943.762163827643,280489.7556617274,10.1
1173.4245490642434,1923.0026520793888,1107.9065469013294,154957.30781211623,2.3833333333333333
381.17993986037527,571.3092378545361,2974.2285417420535,47938.129333308694,0.6666666666666666
1991.8222140869952,3910.761643430503,-15010.834801441673,343651.7620307316,3.0
934.186721679241,1999.4160258211548,1190.4094297748622,158705.29837878078,21.5
1948.637878030894,3512.0421475126464,7581.905958259773,353877.6556440816,13.1
1741.7559747783464,3153.8556284723436,2864.1335364031543,222296.92999799075,15.7
934.5434893564945,2081.3220486460295,3923.1742040488643,187251.8516558179,5.583333333333333
597.9074546208877,1200.377603144432,2424.0128272017,129789.24956711047,33.766666666666666
1000.3967766814229,2283.9049249020127,20.68378534276584,176320.36467302628,8.65
2186.3956087829706,4110.766521035464,2215.4140559519064,305277.8477942392,4.816666666666666
1508.3987260318313,3064.9796195044555,2353.390583195277,204716.35996692488,37.38333333333333
1009.7194402701497,2102.8563916382936,2342.91187610985,161684.6536198581,42.516666666666666
2030.3520397918119,3577.022491714966,2125.451431023664,202996.45880823833,23.9
1248.1633365432813,2960.0301790676513,17609.01290292678,456602.71453237603,7.45
986.8469424635462,2232.384913134634,1706.8318145079857,146249.4463056573,18.35
978.4139618252441,2061.877630747991,1811.435889620795,152154.40835837522,19.25
1796.6216203308127,3235.578645244105,8083.307799346341,261805.56397453469,10.033333333333333
910.0069735588637,2266.0247316420523,818.0730842597458,156834.47274806665,19.4
1081.586653207914,2266.0737300622427,1685.7842983235462,171035.36529723014,22.85
2101.481520859127,2954.3708749101634,7045.312476637822,295534.8711663516,3.2
1946.1301447429005,4225.927645187265,-164172.94678304874,392705.58147028345,0.3
1056.8345747957765,1975.3266631573308,782.1635664649268,117097.48997330468,6.5
1759.414945071621,6134.420094155665,-46598.12199927184,735525.5040557688,3.1
1525.5685693282226,3122.649913466311,3729.7909186731367,226356.53912372576,14.95
1429.4927974766606,2967.362412425217,6554.761372197813,181264.51523405322,24.366666666666667
927.6561604801249,1878.1191026539627,1194.6397919106682,146975.8566202446,10.933333333333334
800.3864661163916,1366.0377552913194,1382.2875941829934,104808.56613121167,27.983333333333334
1095.7059487986483,2394.2952397429917,3284.471637548539,206486.97276939198,22.783333333333335
748.3910044456637,2141.3660963421244,4257.510680713378,213086.78299133966,15.816666666666666
1505.2416962388681,2459.0458331731134,-1449.22557557494,167265.22387127337,5.25
1358.5636353609655,2984.3853788669003,3911.6304386588936,279589.92393783457,15.9
1190.9063468759882,2321.059810473814,1657.1199977903148,198225.46959446,9.733333333333333
1064.2882069795694,2468.996819346616,3479.076339315468,178992.11609677886,20.066666666666666
1117.2185892492234,2619.954510357681,3811.9806007335783,202511.78049567752,34.733333333333334
1581.7401232558666,3156.62134371154,3323.427822945895,236000.45956151476,28.816666666666666
763.2351312128077,437.47120710891977,-14457.511667180315,41322.74103573389,0.2833333333333333
1001.1000685741695,2121.8181989304085,-171.8950101407317,113363.93533140064,23.683333333333334
1247.2080804273842,2440.2673041061207,5929.222054888861,231140.2062608141,29.65
1925.7847201844343,3630.1378431394755,4565.902872983065,242026.17707005184,13.833333333333334
1367.3823327938173,2689.3789644062713,-6026.475713419889,238886.61287248196,3.8833333333333333
1270.403270806622,2690.798266124414,2731.5208453245136,214317.6603956581,25.783333333333335
1083.9345116909476,2325.4627071687282,2016.3360017310881,177820.62468980436,36.93333333333333
1360.2144599594044,2786.3866567929176,2859.7444521711736,210978.10011839855,32.78333333333333
537.5427915270024,1080.3950304247405,1377.1690214554333,85468.26371001914,12.283333333333333
1285.816998355707,2543.586254074314,1481.4678826853838,179423.17780856736,12.8
1193.4697883117342,2165.441595889697,1107.6933680433212,161616.66556358442,25.25
1174.6784915433993,2724.4580111825017,2346.886086097761,164135.9665757128,19.316666666666666
5021.122514776573,4628.253029034311,-86425.51299601539,120664.17243850973,0.31666666666666665
814.0535646234499,1425.3747218722856,215.7387605979439,98526.70360845457,12.666666666666666
1937.4147552502873,3542.7570388287945,3332.0333883771673,218380.51967136274,14.383333333333333
1101.2343593395572,2325.8587059348415,1574.079886432759,158544.86094701113,21.983333333333334
1348.777097519221,2775.4225425899326,4265.559118712983,222042.05868539202,23.5
1489.9276251979845,2681.236315994189,3820.0832723212056,204094.4350412907,10.566666666666666
914.5784964078654,2202.3411568105653,1093.0106892827632,184682.99594514843,25.316666666666666
1232.3761398030588,2411.3763544040467,3166.162882262228,193905.67676298818,37.96666666666667
937.7490528911457,2029.1562096109894,2272.5014907832556,164027.83688098178,37.4
1570.5931791139838,3041.651855049493,3087.8623997108743,226937.2480412202,28.1
1885.9688942106154,3058.3205878740782,6999.375864983714,272008.69085306255,16.65
1147.1535818635339,2502.4506963075683,653.4696985592087,180814.45379548072,15.533333333333333
1428.3977556394807,1525.780550486255,-10356.250993589487,82325.57687568078,0.9666666666666667
2122.572026689763,3807.515170508062,-8230.58867322551,160699.94411801684,4.366666666666666
1969.324499892545,2768.8828601520136,5429.974144662998,209075.4647547709,16.45
1104.2551347619733,1843.9173610014552,956.9220633477139,156567.83809823694,5.683333333333334
4268.6545839862865,5558.076519002903,24592.329072980276,377883.82796579594,2.1166666666666667
772.3292738360923,1251.6307788334996,-15586.115068749075,190227.8531114975,2.033333333333333
1962.1457877224552,3099.1096966709297,2254.135750046351,266994.58607432584,5.0
1340.1791570597647,1773.3313207860442,-51.16794341019604,156425.2962259449,3.9
1274.3601259000486,1755.030300531721,-3834.7146373964415,94603.12411605526,0.8
2201.7545196816627,1897.032787944338,-49402.47580472845,96108.76564436384,0.31666666666666665
189.7627748514916,134.50326861707055,-6.648581703419583,13341.138877290292,0.55
1624.4910826041455,2002.0837754748306,-121.82006166413228,204881.84203655703,1.7666666666666666
1628.598350565509,2936.9743680938764,12852.92105842708,379913.07311651285,7.483333333333333
940.4496445082424,1660.1708959127232,3067.803282307217,176444.1129215064,10.833333333333334
890.0974496213561,2226.136639219548,15799.722412831701,475697.6238438653,6.95
1022.729765746744,1884.9078093846565,8031.021054938436,242350.6835309903,10.733333333333333
3112.944735715384,2806.4322942567214,4095.0384277536214,202722.1174104584,6.483333333333333
2929.2109662923835,3354.3845168099365,-108483.55623636897,143834.72183735645,0.2833333333333333
1212.1913659723625,2661.4210637324577,-335.7112401520928,159132.97072362536,5.466666666666667
1199.1535992408342,2543.6832270290543,4907.2384497541325,261188.55691966214,10.45
742.3274550257078,1852.9650794147744,4965.611907820304,161319.63985985695,26.9
2821.7193131130125,3790.44853098944,16020.191333601926,274042.46045540646,4.25
1311.2853066292057,2631.8829649282634,11385.514134561827,384197.246527497,27.85
1179.457636166521,2338.4640649997336,5273.136999714649,223669.69653795278,11.133333333333333
1258.2247761733877,2457.577976977109,4624.912945211483,214465.05395429145,8.833333333333334
1618.9555097243622,2824.695386239104,10147.247286654045,299802.271940378,14.95
819.3166737782926,1721.9839780184432,5453.85316135148,152194.92107820328,37.266666666666666
939.2070760533156,1997.5655680581117,6516.078041730497,238932.6497073112,9.583333333333334
2586.1225645078557,3673.8321917564654,5119.070579850974,188210.9258086904,8.966666666666667
194.38096262833213,186.74934857607653,-6393.458450134787,26693.863289741348,0.26666666666666666
1209.4760603540026,2401.76403722122,2337.5997015521084,171376.57603444598,29.133333333333333
913.5184435022844,1796.4182362881763,794.081673609269,158820.47536185168,12.633333333333333
1466.9946345929252,2771.976658315394,-766.0857338159069,207071.89381450153,6.85
2023.519127464974,3464.471677777212,2937.1973921136,259342.07727334084,7.266666666666667
2805.933398173679,3346.392916625112,12914.277405331122,248085.9094886064,1.6666666666666667
1541.05780138073,3203.0421443262385,4966.043268665299,241746.2851245349,14.666666666666666
1073.0101847099893,2358.2821351432094,-5990.63394216112,89368.60780536398,4.083333333333333
1301.632577497053,2825.483335355459,7284.085756829734,261174.9350466995,22.233333333333334
1570.831282920573,2958.0755836097387,15239.52356242822,358054.44492025714,7.7
2751.85505240236,5200.12521565256,-4808.705413473635,273046.9161811099,4.633333333333334
1725.9269245712537,3575.4785124293735,5026.387202375195,258887.81185398015,12.85
1455.5701513363915,3274.4510296946237,3320.3364794102,238717.13934311186,22.95
1281.1790981425238,2363.2349024258847,5118.3315826284315,237340.3181142808,15.366666666666667
4143.701173457914,5407.5881646510115,3872.31022752124,410383.3231277227,4.9
1097.2511121197256,2379.2789972934866,2854.751595367649,149027.41803492783,32.983333333333334
1767.173652674628,3211.2095697457908,7714.297612423441,302465.898768069,14.6
1252.5419863752827,2485.473089214935,-4935.680550343432,147719.18564351773,2.7333333333333334
1697.435572248783,3003.2622331449893,2717.106295431422,279600.66760663537,11.283333333333333
1211.161394872247,2605.3494467747996,-608.5884930838655,176296.7687204229,13.566666666666666
868.1348791482185,1764.638836457869,-2623.8602238579565,149126.7433698992,9.566666666666666
2198.4342742350896,3923.3999183687256,13877.254766051323,585944.5787245338,1.75
1234.37224385352,2354.482183020982,2526.497292961012,198483.89226891132,14.916666666666666
1529.9725948741507,2901.3398880328327,5611.572813866206,311565.494386423,11.816666666666666
914.4514649323385,2142.2982795323937,3158.7684469011547,211243.45370318223,26.85
2839.93372102666,4792.330797195093,17435.25183550632,451051.8308479831,6.25
1842.445632046819,3489.9596817099286,12713.894588547448,392781.7467485273,12.483333333333333
2153.9192211060486,3560.0621176647264,13796.327696256365,378042.96712376334,12.566666666666666
1374.605047310255,2593.3382780154757,6247.05746093696,262666.521191482,12.366666666666667
936.5175738139259,2035.570067524865,3627.9530493000316,189939.37989323592,25.4
1020.7277097372641,2209.471216869316,5320.5656383615615,201438.0259605712,22.416666666666668
861.4718742675901,1479.8825127046953,3349.436984993642,124869.17714588845,21.583333333333332
654.868494289214,1161.095392081755,2938.8637194130324,109953.58798061337,35.03333333333333
1819.1525213777788,3208.997725016004,19591.013096615145,370399.45079804154,4.5
1313.1503666455992,2039.8131460682068,4141.454611724902,166604.64338165833,7.566666666666666
607.7968534148665,1642.491374426129,10005.000800200953,223359.6108418405,3.25
647.0558877087441,1737.208171961332,-2.1668755513886073,123145.59592928593,15.0
483.3028114707007,1002.8347603890704,3938.5107727921427,201289.2917225365,17.2
1567.3469735599836,3349.232471779501,4402.566007421356,261534.39872695378,17.033333333333335
1171.5356822891738,2401.8163631156826,1940.9884672326025,179438.05457781747,20.583333333333332
625.9683735846618,664.9088577492694,-2486.4421487292625,54209.833778212895,1.8666666666666667
1824.130734795371,3194.3516263736583,-3704.55339133649,190798.9837462952,4.2
970.2849565628441,743.3970247554621,-4989.101752443257,48664.89441550196,0.85
1450.3049536900946,1531.569638245964,2096.054999291685,111865.25927924548,0.8833333333333333
1131.8240878340662,1708.5187296820545,1203.9166742972152,191999.96210960476,2.466666666666667
1356.1364576898839,2675.1646289546984,1804.7900521161694,213556.9205538224,21.05
222.92413368636704,141.64208208499494,939.9529530905482,17750.281992002238,0.5
850.2301062349159,997.0945572289203,-99.58807282838141,60261.83504721809,6.616666666666666
942.3640665202296,1432.7593487767638,-2176.438805143406,91249.0994553637,3.4
1567.7143833749958,3022.6362677658108,3526.0244436257653,231206.9008305924,20.85
134.50300935497603,22.895814221430847,-1059.1936248566778,2711.8374170293205,0.08333333333333333
