mean_interval,std_interval,click_rate
4.4461865425000004,6.0743466888053925,0.11666666666666667
4.76937721175,5.179424248428948,0.21666666666666667
9.09948813925,6.714623621178185,0.08333333333333333
5.5185450315,2.571617103499777,0.05
3.892340421666666,3.4531068152509423,0.16666666666666666
3.1979247423846155,2.197095330045735,0.23333333333333334
3.579863275857143,4.445699296187592,0.13333333333333333
6.4415385325,4.789445036869765,0.11666666666666667
8.538518707,10.402487723801066,0.11666666666666667
7.140862782999999,4.258486157554154,0.06666666666666667
12.952235778333332,12.570686352782014,0.06666666666666667
2.9331994567857143,4.702045090041461,0.25
7.939302484166667,10.590670875794784,0.11666666666666667
1.1901617843333334,0.2382888365266369,0.06666666666666667
5.794649124142857,8.756905902342877,0.13333333333333333
18.321639617333332,25.890883679135047,0.06666666666666667
5.414438777555555,9.498350235697847,0.16666666666666666
3.060389925470588,2.355256614221275,0.3
3.0539314746999997,3.380774553893407,0.18333333333333332
4.0417062385,4.984983924212818,0.25
3.1315381807058826,3.4101438752331528,0.3
3.4242255091666665,2.6790323943233827,0.21666666666666667
3.1281331437142863,4.060560889693506,0.25
3.5008842944615375,6.9848837977588785,0.23333333333333334
2.187448342666667,1.6900547409028797,0.21666666666666667
2.647853242111111,3.3009105884361327,0.16666666666666666
2.5654847027499996,2.2371390137846343,0.08333333333333333
7.125179358857143,9.357215894661376,0.13333333333333333
2.6433398022352943,2.8722441358378177,0.3
3.883281799461538,3.6190413880260626,0.23333333333333334
3.899123112333333,3.8076846660008337,0.16666666666666666
1.49738609775,1.2994957775580291,0.08333333333333333
1.673712492,0.9969380552961993,0.06666666666666667
5.1065597058,2.078197400334919,0.1
37.531548023,,0.03333333333333333
4.750750065,,0.03333333333333333
4.571671873375,3.3457715774622576,0.15
8.91183275,4.401613803552888,0.08333333333333333
4.1704313556666675,4.262827290074105,0.21666666666666667
0.6807739735,0.6062766839551784,0.05
4.759446919,4.557134497681208,0.15
4.30293905725,5.001225146918392,0.08333333333333333
11.48272721,10.897081504300973,0.06666666666666667
3.1763084994444446,3.5650854181724525,0.31666666666666665
2.673663967526316,1.4447270200119338,0.3333333333333333
3.732398563,4.475743253964118,0.16666666666666666
23.8018187285,26.124365127006982,0.05
2.26050062975,1.5100825734973593,0.21666666666666667
4.419989313428571,6.110274146474533,0.13333333333333333
9.6555155515,8.745583177865937,0.05
8.71466028675,6.030521285155491,0.08333333333333333
3.695516705625,3.531901001045306,0.15
9.644214988,8.395989567569638,0.05
2.30467683075,1.599964029129759,0.08333333333333333
2.713299681117647,1.7286953801405198,0.3
2.0960794886666663,3.137116826593683,0.21666666666666667
2.966091203733333,2.4816737821930053,0.26666666666666666
2.4937441725263154,2.331552405042175,0.3333333333333333
4.961730456299999,5.799790551506965,0.18333333333333332
4.5273157596,4.267578918343327,0.1
1.9930345687272726,2.9356314137857376,0.38333333333333336
9.938059012000002,12.998981562980601,0.06666666666666667
3.662738959,7.97892674396366,0.26666666666666666
2.527396072045455,2.544978654445648,0.38333333333333336
4.2105402945999995,3.8306099658602513,0.18333333333333332
2.9372551308333334,3.4098923850216885,0.31666666666666665
1.8185124132222223,1.3909154293289496,0.4666666666666667
4.2766654729999996,3.919199013398608,0.18333333333333332
4.69006930690909,3.7178247701178675,0.2
2.420832059590909,2.023002294379499,0.38333333333333336
2.034282622518518,2.160101752216956,0.4666666666666667
3.5669588298125,2.8745729562945295,0.2833333333333333
3.0504990816666666,2.77816917246068,0.11666666666666667
3.5856986522666667,3.553956267910115,0.26666666666666666
2.7316350434736845,3.864685959532215,0.3333333333333333
3.01097248,4.804646798665121,0.21666666666666667
2.940562831,2.620029000158244,0.16666666666666666
2.9222054104736843,6.974464839256468,0.3333333333333333
5.647024011600001,4.932082615498649,0.18333333333333332
10.589909613,10.376227353425596,0.08333333333333333
1.2792124271333332,1.2469035793245657,0.7666666666666667
1.5477490299473684,1.1691031200939352,0.65
1.78067480771875,1.285687363640601,0.55
1.4247451566666667,1.141706859473261,0.7166666666666667
1.47674107555,1.3123957163026025,0.35
3.7455484867999997,2.688280603691964,0.1
3.255824248,2.5747469743672866,0.16666666666666666
16.585458279,,0.03333333333333333
8.098464965,,0.03333333333333333
9.023348760800001,13.561518958822074,0.1
6.060307423,9.094806183301891,0.06666666666666667
5.784070690499999,8.1529743162996,0.11666666666666667
1.734497548,,0.03333333333333333
4.019058227,,0.03333333333333333
51.712397098,,0.03333333333333333
3.209284740352941,2.7227438255443865,0.3
8.738830566,,0.03333333333333333
3.9127893924666663,3.615884405913956,0.26666666666666666
7.370766321666667,8.365359609165873,0.06666666666666667
1.502289057,,0.03333333333333333
2.223046541,2.790653433826157,0.05
4.235772999818182,3.999022187162991,0.2
2.02223920825,1.0435150066003034,0.08333333333333333
0.932884137,0.11298668318853215,0.06666666666666667
3.6535398244,2.3043102130860786,0.18333333333333332
13.47515034675,23.457193621157806,0.08333333333333333
41.130126477,,0.03333333333333333
3.5887954712,3.0747272504072045,0.1
5.327616334,3.597689313556074,0.08333333333333333
4.5676368077500005,4.383670939911398,0.21666666666666667
9.353085438333332,10.515322697816913,0.06666666666666667
1.5536415576666667,1.3534874151279928,0.06666666666666667
6.418756206833334,8.768101542738085,0.11666666666666667
2.869744764388889,2.648484542528182,0.31666666666666665
4.599046866111111,6.744913529658601,0.16666666666666666
9.294872721,8.927139930600873,0.11666666666666667
3.1073987107368417,4.110451875264645,0.3333333333333333
3.8562161027500004,3.743247661307949,0.15
1.140357256,,0.03333333333333333
4.4006350518,3.128837540142902,0.1
7.711500008833333,7.3944746436908915,0.11666666666666667
11.503746414,15.18547651745218,0.1
4.639835358,,0.03333333333333333
12.333104372000001,15.5911934533665,0.06666666666666667
9.924983263,3.2190916585192344,0.05
5.215457737375,5.349658227221474,0.15
3.872468471333333,1.6393109164239787,0.06666666666666667
2.2018497519999998,1.7812526878771466,0.16666666666666666
1.710655237526316,1.7988604340402445,0.3333333333333333
3.2653968335,2.5105893575450398,0.11666666666666667
4.0083854437,3.250968815581712,0.18333333333333332
3.6809998512,2.706150148806849,0.1
4.45982140325,0.8877495569148413,0.08333333333333333
12.46087729925,17.962508640919925,0.08333333333333333
1.9527400735,1.170868954347614,0.05
4.45734483,7.705590564320794,0.08333333333333333
6.3541541364444445,9.1648558953082,0.16666666666666666
3.2943512960000003,4.123258667237091,0.2
2.5138691834285716,1.5413137338944427,0.13333333333333333
3.4246953249,2.865578564008975,0.18333333333333332
2.6117824826428566,2.702517815088053,0.25
10.108268737666668,3.1092525649417144,0.06666666666666667
5.585966189666666,4.756360497587037,0.06666666666666667
5.158833238888889,5.847569972292392,0.16666666666666666
1.8635698557500002,1.2218892371155337,0.08333333333333333
1.126490593,,0.03333333333333333
11.340088367,6.69422440986492,0.05
7.6942625045,0.3184727151422834,0.05
4.791977834799999,1.4916810985322333,0.1
18.5692994595,23.06942178680147,0.05
6.873780829571428,5.567288864731,0.13333333333333333
4.8794833422,4.996076747032811,0.18333333333333332
5.252154290625,2.974144835882229,0.15
17.75198245,,0.03333333333333333
2.892127752,,0.03333333333333333
5.652807712,,0.03333333333333333
10.942627192,,0.03333333333333333
7.260639608,8.818311510210131,0.08333333333333333
16.039975802333334,9.457568907236224,0.06666666666666667
6.363842845,7.857949503766322,0.11666666666666667
3.4266073505,5.279751740456409,0.21666666666666667
6.9649210770000005,8.213202388641077,0.11666666666666667
